Trial03
Date:,2017/07/11
Time:,16:59:08
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C
Field #,X,Y,Z,X,Y,Z,X,Y,Z
676,-377.828674,302.752930,955.607727,-371.110840,201.638336,952.862061,-311.033936,255.580307,987.658325
677,-377.958496,302.740173,955.398254,-371.227600,201.637268,952.644592,-311.268555,255.562393,987.657471
678,-378.087860,302.727570,955.188354,-371.343658,201.635788,952.427063,-311.503998,255.544540,987.656738
679,-378.216949,302.715210,954.977356,-371.459198,201.634155,952.208984,-311.740784,255.526947,987.656128
680,-378.346100,302.703186,954.764648,-371.574432,201.632568,951.989746,-311.979431,255.509705,987.655640
681,-378.475464,302.691711,954.549500,-371.689514,201.631210,951.768616,-312.220490,255.492767,987.655212
682,-378.605316,302.680908,954.331055,-371.804718,201.630234,951.544861,-312.464508,255.475967,987.654785
683,-378.735809,302.670868,954.108704,-371.920288,201.629715,951.317810,-312.711823,255.459091,987.654236
684,-378.867218,302.661438,953.882080,-372.036560,201.629669,951.086792,-312.962830,255.441879,987.653198
685,-378.999756,302.652435,953.650940,-372.153809,201.630066,950.851318,-313.217682,255.424149,987.651428
686,-379.133728,302.643433,953.415283,-372.272247,201.630875,950.610962,-313.476501,255.405777,987.648499
687,-379.269318,302.634033,953.175354,-372.391968,201.631943,950.365601,-313.739166,255.386795,987.643799
688,-379.406738,302.623962,952.931396,-372.513031,201.633026,950.115479,-314.005432,255.367294,987.636902
689,-379.545959,302.612976,952.683838,-372.635376,201.633789,949.860962,-314.275024,255.347488,987.627441
690,-379.686890,302.600952,952.432861,-372.758881,201.634033,949.602539,-314.547577,255.327499,987.615356
691,-379.829254,302.587860,952.178772,-372.883362,201.633682,949.340576,-314.822845,255.307465,987.600525
692,-379.972626,302.573700,951.921753,-373.008636,201.632782,949.075378,-315.100525,255.287415,987.583008
693,-380.116547,302.558533,951.662109,-373.134552,201.631393,948.807312,-315.380524,255.267334,987.563110
694,-380.260529,302.542480,951.399902,-373.260895,201.629593,948.536804,-315.662598,255.247299,987.541016
695,-380.404205,302.525787,951.135376,-373.387512,201.627518,948.264160,-315.946655,255.227371,987.517212
696,-380.547333,302.508789,950.868530,-373.514130,201.625244,947.989624,-316.232452,255.207596,987.492126
697,-380.689697,302.491821,950.599426,-373.640411,201.622925,947.713501,-316.519806,255.187988,987.466248
698,-380.831177,302.475159,950.328247,-373.766083,201.620651,947.435852,-316.808594,255.168442,987.439819
699,-380.971771,302.458832,950.055359,-373.890839,201.618515,947.156860,-317.098724,255.148880,987.413147
700,-381.111420,302.442810,949.781128,-374.014404,201.616577,946.876648,-317.390076,255.129196,987.386353
701,-381.250214,302.427063,949.505981,-374.136597,201.614868,946.595276,-317.682465,255.109390,987.359375
702,-381.388062,302.411621,949.230164,-374.257355,201.613358,946.312988,-317.975586,255.089584,987.332092
703,-381.525055,302.396759,948.953735,-374.376678,201.611938,946.029846,-318.269104,255.069885,987.304382
704,-381.661224,302.382813,948.676636,-374.494659,201.610382,945.746399,-318.562805,255.050430,987.276062
705,-381.796509,302.370300,948.398865,-374.611389,201.608459,945.462769,-318.856506,255.031265,987.246948
706,-381.930847,302.359680,948.120117,-374.727081,201.605957,945.179382,-319.150024,255.012314,987.216858
707,-382.064087,302.351227,947.840454,-374.841797,201.602768,944.896362,-319.443268,254.993469,987.185608
708,-382.196045,302.344727,947.559875,-374.955750,201.598877,944.613831,-319.736084,254.974579,987.153076
709,-382.326538,302.339447,947.278687,-375.069031,201.594269,944.332031,-320.028290,254.955521,987.119019
710,-382.455597,302.334473,946.997375,-375.181793,201.589035,944.051025,-320.319702,254.936172,987.083374
711,-382.583344,302.328796,946.716309,-375.294098,201.583252,943.770874,-320.610260,254.916351,987.046204
712,-382.709839,302.321686,946.435669,-375.405975,201.577011,943.491394,-320.900116,254.895813,987.007629
713,-382.835327,302.312653,946.155334,-375.517365,201.570496,943.212158,-321.189575,254.874344,986.967834
714,-382.959869,302.301575,945.875122,-375.628235,201.563950,942.932678,-321.479095,254.851730,986.927063
715,-383.083618,302.288483,945.594604,-375.738403,201.557556,942.652405,-321.769073,254.827942,986.885498
716,-383.206726,302.273590,945.313477,-375.847839,201.551544,942.370667,-322.059906,254.803085,986.843323
717,-383.329285,302.257294,945.031250,-375.956329,201.546051,942.086914,-322.351807,254.777420,986.800537
718,-383.451355,302.239960,944.747498,-376.063812,201.541199,941.800659,-322.645050,254.751175,986.757202
719,-383.573151,302.222046,944.461914,-376.170166,201.537048,941.511536,-322.939789,254.724548,986.713318
720,-383.694885,302.203766,944.174255,-376.275330,201.533569,941.219177,-323.236359,254.697586,986.668823
721,-383.816772,302.185333,943.884399,-376.379211,201.530609,940.923706,-323.534943,254.670288,986.623657
722,-383.938873,302.166992,943.592224,-376.481781,201.527939,940.625183,-323.835693,254.642639,986.577881
723,-384.061157,302.149139,943.297668,-376.583038,201.525314,940.324036,-324.138641,254.614670,986.531372
724,-384.183350,302.132172,943.000610,-376.682983,201.522507,940.020569,-324.443481,254.586502,986.484070
725,-384.305145,302.116547,942.700867,-376.781677,201.519226,939.715454,-324.749847,254.558197,986.435791
726,-384.426117,302.102600,942.398560,-376.879150,201.515259,939.409241,-325.057220,254.529800,986.386658
727,-384.545746,302.090668,942.093811,-376.975403,201.510452,939.102722,-325.365051,254.501266,986.336548
728,-384.663483,302.080780,941.787231,-377.070404,201.504730,938.796387,-325.672729,254.472580,986.285339
729,-384.778870,302.072784,941.479431,-377.164215,201.498138,938.490845,-325.979614,254.443787,986.232971
730,-384.891571,302.066223,941.171204,-377.256805,201.490738,938.186768,-326.285004,254.415085,986.179260
731,-385.001526,302.060364,940.863586,-377.348114,201.482651,937.884644,-326.588104,254.386734,986.124207
732,-385.108582,302.054474,940.557495,-377.438080,201.474060,937.585083,-326.888214,254.359009,986.067688
733,-385.212738,302.047882,940.253601,-377.526581,201.465225,937.288513,-327.184723,254.332092,986.009705
734,-385.313904,302.040283,939.952637,-377.613403,201.456512,936.995178,-327.477173,254.306015,985.950195
735,-385.411926,302.031616,939.654846,-377.698364,201.448212,936.705322,-327.765350,254.280777,985.889160
736,-385.506714,302.021973,939.360413,-377.781281,201.440582,936.418945,-328.049072,254.256363,985.826721
737,-385.598145,302.011566,939.069641,-377.862030,201.433731,936.136230,-328.328278,254.232834,985.762878
738,-385.686340,302.000458,938.782654,-377.940399,201.427734,935.857117,-328.602905,254.210251,985.697937
739,-385.771393,301.988617,938.499939,-378.016296,201.422699,935.581482,-328.872925,254.188705,985.631897
740,-385.853577,301.975830,938.221985,-378.089447,201.418716,935.309143,-329.138397,254.168137,985.565063
741,-385.933075,301.962067,937.948975,-378.159760,201.415878,935.039795,-329.399414,254.148376,985.497559
