Trial01
Date:,2017/07/11
Time:,16:52:01
Type:,
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,A,,,B,,,C,,,*1,,,*2
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1137,-343.912994,307.714264,980.821533,-345.147858,206.284515,978.786377,-272.650757,256.284058,980.110962,,,,,,
1138,-343.924652,307.715637,980.814270,-345.158295,206.285965,978.779663,-272.661682,256.284424,980.116272,,,,,,
1139,-343.936035,307.716705,980.807129,-345.168335,206.287491,978.773132,-272.672058,256.284637,980.121216,,,,,,
1140,-343.947113,307.717468,980.800171,-345.177948,206.289017,978.766602,-272.681915,256.284698,980.125732,,,,,,
1141,-343.957794,307.717896,980.793396,-345.187134,206.290436,978.760254,-272.691193,256.284668,980.129761,,,,,,
1142,-343.968079,307.717987,980.786865,-345.195892,206.291641,978.754028,-272.699951,256.284515,980.133301,,,,,,
1143,-343.977875,307.717743,980.780518,-345.204315,206.292557,978.747986,-272.708221,256.284302,980.136292,,,,,,
1144,-343.987122,307.717163,980.774414,-345.212372,206.293167,978.742004,-272.716034,256.283997,980.138794,,,,,,
1145,-343.995850,307.716309,980.768494,-345.220093,206.293488,978.736145,-272.723480,256.283661,980.140808,,,,,,
1146,-344.003998,307.715240,980.762817,-345.227478,206.293610,978.730286,-272.730591,256.283295,980.142334,,,,,,
1147,-344.011597,307.714020,980.757202,-345.234528,206.293625,978.724365,-272.737457,256.282898,980.143616,,,,,,
1148,-344.018646,307.712769,980.751770,-345.241241,206.293594,978.718384,-272.744049,256.282471,980.144592,,,,,,
1149,-344.025238,307.711548,980.746338,-345.247620,206.293625,978.712280,-272.750458,256.281952,980.145447,,,,,,
1150,-344.031433,307.710480,980.740967,-345.253571,206.293747,978.706177,-272.756653,256.281433,980.146301,,,,,,
1151,-344.037292,307.709686,980.735596,-345.259064,206.294022,978.700073,-272.762665,256.280945,980.147156,,,,,,
1152,-344.042847,307.709198,980.730225,-345.264160,206.294495,978.694092,-272.768494,256.280487,980.148132,,,,,,
1153,-344.048218,307.709076,980.724915,-345.268890,206.295151,978.688293,-272.774109,256.280151,980.149170,,,,,,
1154,-344.053406,307.709320,980.719727,-345.273315,206.296021,978.682678,-272.779510,256.279907,980.150452,,,,,,
1155,-344.058380,307.709869,980.714661,-345.277557,206.297134,978.677368,-272.784668,256.279785,980.151978,,,,,,
1156,-344.063232,307.710693,980.709778,-345.281616,206.298508,978.672424,-272.789520,256.279816,980.153687,,,,,,
1157,-344.067902,307.711670,980.705139,-345.285645,206.300125,978.667786,-272.794128,256.280029,980.155640,,,,,,
1158,-344.072388,307.712799,980.700806,-345.289612,206.301926,978.663513,-272.798492,256.280457,980.157776,,,,,,
1159,-344.076691,307.713959,980.696716,-345.293579,206.303894,978.659729,-272.802582,256.281128,980.159973,,,,,,
1160,-344.080719,307.715149,980.692993,-345.297455,206.306015,978.656250,-272.806427,256.281982,980.162231,,,,,,
1161,-344.084412,307.716370,980.689514,-345.301239,206.308350,978.653076,-272.809967,256.283081,980.164490,,,,,,
1162,-344.087646,307.717651,980.686340,-345.304871,206.310944,978.650085,-272.813171,256.284332,980.166687,,,,,,
1163,-344.090393,307.719055,980.683533,-345.308197,206.313766,978.647400,-272.815948,256.285767,980.168762,,,,,,
1164,-344.092621,307.720581,980.681030,-345.311188,206.316696,978.645081,-272.818298,256.287354,980.170593,,,,,,
1165,-344.094269,307.722290,980.678894,-345.313721,206.319641,978.643250,-272.820160,256.288971,980.172180,,,,,,
1166,-344.095306,307.724152,980.677063,-345.315796,206.322464,978.642029,-272.821594,256.290588,980.173401,,,,,,
1167,-344.095703,307.726196,980.675598,-345.317352,206.325104,978.641357,-272.822632,256.292175,980.174316,,,,,,
1168,-344.095520,307.728333,980.674377,-345.318542,206.327530,978.641113,-272.823242,256.293701,980.174927,,,,,,
1169,-344.094818,307.730621,980.673401,-345.319366,206.329727,978.641235,-272.823456,256.295074,980.175171,,,,,,
1170,-344.093658,307.732971,980.672607,-345.319916,206.331757,978.641418,-272.823334,256.296326,980.175171,,,,,,
1171,-344.092133,307.735352,980.671875,-345.320282,206.333664,978.641602,-272.822845,256.297424,980.174866,,,,,,
1172,-344.090271,307.737732,980.671265,-345.320526,206.335510,978.641602,-272.822113,256.298401,980.174438,,,,,,
1173,-344.088226,307.739929,980.670776,-345.320709,206.337311,978.641479,-272.821106,256.299194,980.173828,,,,,,
1174,-344.086060,307.741882,980.670410,-345.320801,206.339066,978.641174,-272.819916,256.299774,980.173157,,,,,,
1175,-344.083893,307.743500,980.670166,-345.320892,206.340729,978.640747,-272.818604,256.300110,980.172485,,,,,,
1176,-344.081787,307.744690,980.670166,-345.320953,206.342148,978.640320,-272.817261,256.300232,980.171875,,,,,,
1177,-344.079773,307.745514,980.670227,-345.320984,206.343231,978.639954,-272.815918,256.300049,980.171387,,,,,,
